#;Domínio;Técnica;Descrição;Implementação / Offsets 2026;Situação / Evolução;Por que? (Motivação Técnica);Risco de Detecção
1;Entrada (Input);Windows SendInput / mouse_event;Injeção de eventos de mouse via APIs padrão do Windows User-mode.;"SendInput(&input, 1, sizeof(INPUT));";Defasado / Ineficaz;O VAC Live e o BattlEye monitoram a flag LLMHF_INJECTED. Movimentos 'artificiais' no barramento de software são detectados por análise de pilha de driver do Windows.;Crítico
2;Entrada (Input);Hardware HID (Sayo Device);Emulação de mouse físico via firmware em dispositivo microcontrolado.;"HIDAPI: hid_write(dev, packet, 64); Offsets de movimento calculados via ViewAngles (0x2314f98).";Atual / Melhor Prática;O movimento é originado no barramento USB físico. Não há flags de injeção no sistema operacional, parecendo um mouse real para qualquer driver de filtro.;Mínimo
3;Memória & Evasão;ReadProcessMemory (RPM);Leitura de memória externa usando a API padrão do Windows.;"ReadProcessMemory(hProcess, (LPCVOID)(client_dll + 0x2064ae0), ...);";Defasado / Ineficaz;Gatilha callbacks de ObRegisterCallbacks. O AC monitora handles abertos com permissões de leitura/escrita em processos protegidos.;Alto
4;Memória & Evasão;Kernel Page Table Manipulation;Mapeamento físico de memória via driver sem abrir handles.;MmCopyVirtualMemory via CR3 swap. Alvo: 0x24aa0d8.;Atual / Melhor Prática;Ignora completamente as permissões de User-mode e callbacks de segurança. O AC não consegue interceptar a leitura pois ela ocorre no nível do MMU.;Mínimo
5;Networking (Sub-tick);Aimbot Manual Tick (64/128);Mira atualizada a cada tick rate visível do servidor.;Sync via Sleep(15.6ms).;Defasado / Ineficaz;O CS2 utiliza sub-tick. Movimentos que não levam em conta o tempo entre frames resultam em 'misses' e telemetria inconsistente no servidor.;Médio
6;Networking (Sub-tick);Sub-tick Sample Alignment;Sincronização de comandos com o timestamp exato do sub-tick processado pelo Engine2.;Ler dwGlobalVars (curtime/frametime). Ajustar movimento no frame dinâmico.;Atual / Melhor Prática;Garante que o tiro 'registre' exatamente onde a mira estava no momento do cálculo do servidor, evitando desvios milimétricos de interpolação.;Baixo
7;Aimbot & Matemática;Linear Smooth;Movimento em linha reta do ponto A ao ponto B com velocidade constante.;"delta = target - current; delta / smooth_factor;";Defasado / Ineficaz;O VACnet 3.0 identifica trajetórias lineares perfeitas via análise de curvatura. Humanos nunca movem o mouse em uma linha geométrica pura.;Alto
8;Aimbot & Matemática;Curvas de Bézier Cúbicas + Jitter de Tremor;Trajetória curva com micro-oscilações simulando a instabilidade da mão humana.;"P(t) = (1-t)³P0 + 3(1-t)²tP1 + ... + OrnsteinUhlenbeckNoise();";Atual / Melhor Prática;Passa por testes de Turing estatísticos. O movimento possui aceleração, inércia e ruído espectral idêntico a um jogador profissional.;Indetectável
9;Networking (Sub-tick);IAT Camouflage v009;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
10;Memória & Evasão;Asynchronous ESP Rendering v010;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
11;Recoil (RCS);Hypervisor-based Memory Access v011;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
12;OPSEC & Forensics;IAT Camouflage v012;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
13;Hardware (Sayo Device);Sub-pixel Precise RCS v013;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
14;Entrada (Input);Hypervisor-based Memory Access v014;Uso de EPT para esconder o código do cheat em memória virtual protegida.;VTEE Hooking / EPT Violation hiding.;Atual / Melhor Prática;VBS e HVCI monitoram mudanças de PTE. O EPT permite manter a página original limpa para o scanner.;Mínimo
15;Recoil (RCS);IAT Camouflage v015;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
16;Hardware (Sayo Device);IAT Camouflage v016;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
17;Recoil (RCS);Asynchronous ESP Rendering v017;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
18;OPSEC & Forensics;Sub-pixel Precise RCS v018;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
19;Hardware (Sayo Device);Direct IOCTL Communication v019;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
20;Entrada (Input);Asynchronous ESP Rendering v020;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
21;OPSEC & Forensics;Asynchronous ESP Rendering v021;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
22;Memória & Evasão;IAT Camouflage v022;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
23;Networking (Sub-tick);Direct IOCTL Communication v023;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
24;Networking (Sub-tick);Asynchronous ESP Rendering v024;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
25;OPSEC & Forensics;Sub-pixel Precise RCS v025;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
26;Hardware (Sayo Device);Asynchronous ESP Rendering v026;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
27;Memória & Evasão;Asynchronous ESP Rendering v027;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
28;OPSEC & Forensics;IAT Camouflage v028;Ocultação de imports via hash dinâmico no PEB.;FNV-1a Hashing + LdrGetProcedureAddress manual.;Atual / Melhor Prática;Previne análise estática e dumps de memória simples que buscam por nomes de funções suspeitas.;Baixo
29;Networking (Sub-tick);Direct IOCTL Communication v029;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
30;OPSEC & Forensics;Sub-pixel Precise RCS v030;Compensação de recuo com precisão sub-pixel convertida para reports de 16-bits do Sayo.;Double to 16bit-HID mapping.;Atual / Melhor Prática;Evita o 'step jitter' que ocorre quando se usa apenas inteiros, tornando o recuo suave no nível espectral.;Mínimo
31;Aimbot & Matemática;Asynchronous ESP Rendering v031;ESP desenhado através de overlays de hardware (NVIDIA/Discord) para evitar captura de tela.;IDirect3DDevice9::Present Hook em overlay externo.;Atual / Melhor Prática;O VAC Live tira screenshots do processo do jogo. Overlays externos não são capturados pelo BitBlt do jogo.;Baixo
32;Recoil (RCS);Direct IOCTL Communication v032;Comunicação driver-client via canais de memória compartilhada (Shared Memory) em vez de IOCTLs tradicionais.;MmMapViewOfSection + SignalObjectWait.;Atual / Melhor Prática;O BattlEye/VAC monitoram DeviceIoControl. Memória compartilhada é 'invisível' para esses hooks.;Mínimo
